*本資料庫所列數值單位均為每100 g可食部分之含量。,,,,,,,,,,,
整合編號,食品分類,樣品名稱,內容物描述,俗名,廢棄率(%),熱量(kcal),粗蛋白(g),粗脂肪(g),飽和脂肪(g),總碳水化合物(g),反式脂肪(mg)
A0500208,穀物類,稉米(高雄142號),"樣品狀態:生,白稉米; 前處理描述:混合均勻磨碎","蓬萊米,圓米",,353,7,0.6,,77.7,
A0500209,穀物類,稉米(高雄145號),"樣品狀態:生,白稉米; 前處理描述:混合均勻磨碎",,,364,6.8,1,0.3,80,
A0500210,穀物類,稉米(高雄139號)(2021年取樣),"樣品狀態:生,白稉米; 前處理描述:混合均勻磨碎","蓬萊米,圓米",0,352,5.7,0.5,0.2,79.2,0
A0500301,穀物類,越光米,"樣品狀態:生,白稉米; 前處理描述:混合均勻磨碎","蓬萊米,圓米",,340,7.6,1,0.2,73.3,
A0500302,穀物類,越光米(台南16號)(2024年取樣),"樣品狀態:生,白稉米; 前處理描述:混合均勻磨碎","蓬萊米,圓米",0,356,6.9,0.3,0.1,79.1,0
A0500401,穀物類,秈型糯米(台中糯70號),樣品狀態:生; 前處理描述:混合均勻磨碎,長糯米,,361,7.9,0.9,0.2,78.4,
A05005,穀物類,稉型糯米平均值,樣品狀態:生; 前處理描述:混合均勻磨碎,圓糯米,,358,8.3,0.8,0.2,77.4,
A0500501,穀物類,稉型糯米,樣品狀態:生; 前處理描述:混合均勻磨碎,圓糯米,,359,8.4,0.5,0.1,78,
A0500502,穀物類,稉型糯米(台稉糯1號),樣品狀態:生; 前處理描述:混合均勻磨碎,圓糯米,,358,8.2,1.1,,76.8,
A0500601,穀物類,野生紅米,"樣品狀態:生,野生栽植; 前處理描述:混合均勻磨碎",,,360,7.7,2.6,0.6,74.7,
A0500701,穀物類,紅糯糙米,樣品狀態:生; 前處理描述:混合均勻磨碎,,,362,9.9,2.8,0.7,72.6,
A0500801,穀物類,黑秈糯糙米,樣品狀態:生; 前處理描述:混合均勻磨碎,"黑糯米,紫糯米,紫米,貢米,長生米",,357,10.1,3.5,0.9,70.1,
A0500901,穀物類,胚芽秈米(台中秈10號),樣品狀態:生; 前處理描述:混合均勻磨碎,,,363,8.3,2.1,0.5,76.1,
A05010,穀物類,胚芽稉米平均值,樣品狀態:生; 前處理描述:混合均勻磨碎,,,362,8.2,1.6,0.5,76.8,
A0501001,穀物類,胚芽稉米(台稉10號）,樣品狀態:生; 前處理描述:混合均勻磨碎,,,360,7.3,1.7,0.5,77.2,
A0501002,穀物類,胚芽稉米(台稉9號),樣品狀態:生; 前處理描述:混合均勻磨碎,,,363,9.1,1.5,0.4,76.5,
A05011,穀物類,發芽稉米平均值,樣品狀態:生; 前處理描述:混合均勻磨碎,發芽糙米,,355,7.8,2.3,0.5,74,
A0501103,穀物類,發芽稉米(台稉71號),樣品狀態:生; 前處理描述:混合均勻磨碎,"發芽糙米,益全香米發芽米",,357,7.4,2.8,0.6,73.9,
A0501104,穀物類,發芽稉米(台稉9號）,樣品狀態:生; 前處理描述:混合均勻磨碎,發芽糙米,,353,8.2,1.9,0.5,74.1,
A0501201,穀物類,糙秈米,樣品狀態:生; 前處理描述:混合均勻磨碎,糙米,,359,7.3,3.2,0.8,73.6,
A05013,穀物類,糙稉米平均值,樣品狀態:生; 前處理描述:混合均勻磨碎,糙米,,364,7.4,2.3,0.6,76.6,
A0501301,穀物類,糙稉米(台稉71號),樣品狀態:生; 前處理描述:混合均勻磨碎,益全香米糙米,,360,9,2.6,0.5,73.6,
A0501302,穀物類,糙稉米(台稉9號),樣品狀態:生; 前處理描述:混合均勻磨碎,糙米,,364,7.4,2.3,0.6,76.6,
A0501401,穀物類,黑秈糙米,"樣品狀態:生,真空袋裝; 前處理描述:混合均勻磨碎",黑米,0,363,7.5,3.5,0.9,74,0
A0510101,穀物類,加鈣米,"樣品狀態:生,含碳酸鈣之精選稉米; 前處理描述:混合均勻磨碎",,,355,7.4,0.7,0.2,77.7,
A0510201,穀物類,高纖米,"樣品狀態:生,高纖稉米; 前處理描述:混合均勻磨碎",高纖蓬萊米,,363,8.3,2.5,0.5,75.2,
A0510301,穀物類,五穀米,"樣品狀態:生(糙米,薏仁,蕎麥,小米,黑糯米,麥片,紅扁豆,紅薏仁等); 前處理描述:混合均勻磨碎",,,358,8.7,2.9,0.8,72.9,
A0510401,穀物類,米胚芽,樣品狀態:生; 前處理描述:混合均勻磨碎,,,391,17,12.7,3,52.9,
A0520201,穀物類,秈米粉,樣品狀態:水磨在來米粉; 前處理描述:混合均勻,在來米粉,,363,4.2,0.4,0.1,83.4,
A0520301,穀物類,糙米粉,前處理描述:混合均勻,,,393,11.3,3.2,,78.1,
A0520401,穀物類,白糯米粉,樣品狀態:水磨糯米粉; 前處理描述:混合均勻,,,360,4.5,0.4,0.1,82.3,
A0550601,穀物類,白飯,"樣品狀態:熟,白米加1.1倍的去離子水,用電鍋烹煮; 前處理描述:混合均勻打碎",,,183,3.1,0.3,0.1,41,
A0600101,穀物類,高梁,樣品狀態:生; 前處理描述:混合均勻磨碎,,,372,11,3,0.7,73.6,
A0600201,穀物類,糯高梁,樣品狀態:生; 前處理描述:混合均勻磨碎,,,362,10.7,1,0.2,75.7,
A0710101,穀物類,黑麥片,前處理描述:混合均勻打碎,,,359,7.8,1.2,0.3,77.3,
A0800101,穀物類,燕麥,樣品狀態:生; 前處理描述:混合均勻打碎,,,406,10.9,10.2,1.9,67.4,
A0810101,穀物類,燕麥片,樣品狀態:快煮即食; 前處理描述:混合均勻打碎,,,393,12.3,9.7,,64.1,
A0810201,穀物類,即食燕麥片,樣品狀態:沖泡即食; 前處理描述:混合均勻打碎,,,406,11.9,9.6,1.7,67.9,
A0900101,穀物類,蕎麥(甜蕎),樣品狀態:生; 前處理描述:混合均勻磨碎,三角米,,361,11,2.9,0.6,71.3,
A1000101,穀物類,薏仁,樣品狀態:生; 前處理描述:混合均勻磨碎,"薏仁,薏苡仁",,378,14.1,6.1,0.9,66.2,
A1000201,穀物類,糙薏仁,樣品狀態:生; 前處理描述:混合均勻磨碎,紅薏仁,,387,13.7,7.4,1.1,65.9,
A1020101,穀物類,薏仁粉,前處理描述:混合均勻,,,395,10.9,3.5,0.5,80,
A1100101,穀物類,紅藜麥,樣品狀態:生; 前處理描述:混合均勻磨碎,,0,379,12.1,6.7,0.9,66.8,0
A1100201,穀物類,台灣藜(紅)(帶殼),"樣品狀態:生,帶殼; 前處理描述:混合均勻磨碎","藜,赤藜,紫藜,紅心藜,紅藜,食用藜",0,386,14.9,8.5,1.4,62.3,13
B0100101,澱粉類,淮山,樣品狀態:乾貨; 前處理描述:混合均勻打碎,"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",,363,5.3,0.3,0.1,82.4,
B01002,澱粉類,山藥平均值,"樣品狀態:生; 前處理描述:去皮,混合均勻打碎","山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",19,85,2.8,0.1,0.1,17.8,0
B0100201,澱粉類,山藥(二刺),"樣品狀態:生; 前處理描述:去皮,混合均勻打碎","山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",25,89,2.7,0.1,,18.9,
B0100202,澱粉類,山藥(大汕1號),"樣品狀態:生; 前處理描述:去皮,混合均勻打碎","山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",15,80,2.4,0.1,,17,
B0100203,澱粉類,山藥(大汕3號),"樣品狀態:生; 前處理描述:去皮,混合均勻打碎","山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",18,73,2.6,0.1,,15,
B0100204,澱粉類,山藥(大刺),"樣品狀態:生; 前處理描述:去皮,混合均勻打碎","山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",16,85,3.5,0.1,,17.1,
B0100205,澱粉類,山藥(中國長品),"樣品狀態:生; 前處理描述:去皮,混合均勻打碎","山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",16,74,2.5,0.1,,15.5,
B0100206,澱粉類,山藥(台農1號),"樣品狀態:生; 前處理描述:去皮,混合均勻打碎","山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",13,93,2.6,0.1,,19.9,
B0100207,澱粉類,山藥(台農2號),"樣品狀態:生; 前處理描述:去皮,混合均勻打碎","山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",17,95,3.2,0.1,,19.9,
B0100208,澱粉類,山藥(白皮削),"樣品狀態:生; 前處理描述:去皮,混合均勻打碎","山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",33,75,2.5,0.1,,15.7,
B0100209,澱粉類,山藥(尖石原生種),"樣品狀態:生; 前處理描述:去皮,混合均勻打碎","山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",16,65,3.1,0.1,,12.4,
B0100210,澱粉類,山藥(宜蘭原生種),"樣品狀態:生; 前處理描述:去皮,混合均勻打碎","山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",25,140,4.8,0.2,,29.1,
B0100211,澱粉類,山藥(花蓮3號),"樣品狀態:生; 前處理描述:去皮,混合均勻打碎","山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",21,93,1.7,0.1,,20.9,
B0100212,澱粉類,山藥(青森),"樣品狀態:生; 前處理描述:去皮,混合均勻打碎","山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",19,94,2.6,0.2,,19.9,
B0100213,澱粉類,山藥(高田),"樣品狀態:生; 前處理描述:去皮,混合均勻打碎","山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",23,71,3.1,0.1,,14,
B0100214,澱粉類,山藥(白肉),"樣品狀態:生; 前處理描述:去皮,混合均勻打碎",日本山藥,12,69,2.1,0.1,0.1,14.4,0
B0200301,澱粉類,紫山藥,"樣品狀態:生; 前處理描述:去皮,混合均勻打碎","山薯,田薯,薯蕷,長薯,血薯;淮山(加工後)",17,92,2.8,0.1,,19.6,
B0320101,澱粉類,木薯粉,樣品狀態:樹薯澱粉; 前處理描述:混合均勻,樹薯粉,,362,0.1,0.2,0,87.3,
B0400101,澱粉類,白皮甘藷,"樣品狀態:生,白皮白肉; 前處理描述:去皮,混合均勻打碎","甘薯,番薯,甜薯,地瓜,田薯,土薯,白薯",7,119,1.3,0.1,,27.5,
B0400201,澱粉類,菱角牛奶甘藷,"樣品狀態:生,白皮白肉; 前處理描述:去皮,混合均勻打碎","甘薯,番薯,甜薯,地瓜,田薯,土薯,白薯",13,133,1.9,0.3,0.2,29.9,
B0400301,澱粉類,芋心甘藷,"樣品狀態:生,芋心種; 前處理描述:去皮,混合均勻打碎","甘薯,番薯,甜薯,地瓜,田薯,土薯,紅薯,紫心甘薯,芋頭(仔)番薯",15,122,1.1,0.1,,28.5,
B0400401,澱粉類,紅肉甘藷,"樣品狀態:生,紅皮紅肉; 前處理描述:去皮,混合均勻打碎","甘薯,番薯,甜薯,地瓜,田薯,土薯",12,114,1.8,0.2,0.2,25.4,
B0400501,澱粉類,金時甘藷,"樣品狀態:生,紅皮黃肉; 前處理描述:去皮,混合均勻打碎","甘薯,番薯,甜薯,地瓜,田薯,土薯",12,138,1.6,0.4,0.3,31.3,
B0400601,澱粉類,黃肉甘藷,"樣品狀態:生,黃皮黃肉; 前處理描述:去皮,混合均勻打碎","甘薯,番薯,甜薯,地瓜,田薯,土薯",16,121,1.3,0.2,0.1,27.8,
B0420101,澱粉類,甘藷粉,前處理描述:混合均勻,"甘薯粉,蕃薯粉,甜薯粉,地瓜粉",,358,1,0.2,,85.5,
B0450101,澱粉類,油炸脫水甘藷,前處理描述:混合均勻打碎,,,525,2.3,30.1,,61.2,
B0500101,澱粉類,芋頭,"樣品狀態:生; 前處理描述:去皮,混合均勻打碎","芋頭,芋艿,芋乃,芋仔,青芋,土芝",13,128,2.5,1.1,,26.4,
B0500201,澱粉類,小芋頭(山芋),"樣品狀態:生; 前處理描述:去皮,混合均勻打碎","芋頭,芋艿,芋乃,芋仔,青芋,土芝",16,113,2.3,1.2,0.4,22.8,
B0500301,澱粉類,檳榔心芋,"樣品狀態:生; 前處理描述:去皮,混合均勻打碎","芋頭,芋艿,芋乃,芋仔,青芋,土芝",12,121,1.3,0,,28.1,
B0500302,澱粉類,檳榔心芋(2021年取樣),"樣品狀態:生; 前處理描述:去皮,混合均勻打碎","芋頭,芋艿,芋乃,芋仔,青芋,土芝",19,107,1.1,0,0,24.8,0
B0500401,澱粉類,冷凍芋頭塊,"樣品狀態:生,冷凍產品; 前處理描述:混合均勻打碎",,,147,2.2,4.3,,24.9,
B0520101,澱粉類,芋頭粉,"樣品狀態:香芋,乳糖等; 前處理描述:混合均勻",,,333,0.1,0,0,83.1,
B0600101,澱粉類,豆薯,"樣品狀態:生; 前處理描述:去皮,混合均勻打碎","刈薯,涼薯,葛薯,沙葛,地瓜,三角薯",7,31,0.7,0.1,0,6.8,
B0700101,澱粉類,紅馬鈴薯(粉紅珍珠馬鈴薯),"樣品狀態:生,紅皮種; 前處理描述:去皮,混合均勻打碎","洋芋,洋薯,洋山芋,荷蘭薯,日本番薯,塊茄",15,66,1.6,0,0,14.4,
B0700201,澱粉類,馬鈴薯,"樣品狀態:生,黃皮種; 前處理描述:去皮,混合均勻打碎","洋芋,洋薯,洋山芋,荷蘭薯,日本番薯,塊茄",10,77,2.6,0.2,,15.8,
B0700202,澱粉類,馬鈴薯(2022年取樣),"樣品狀態:生,黃皮種; 前處理描述:去皮,混合均勻打碎","洋芋,洋薯,洋山芋,荷蘭薯,日本番薯,塊茄",12,70,2.3,0,0,14.9,0
B0700301,澱粉類,小馬鈴薯(珍珠馬鈴薯),"樣品狀態:生,黃皮種; 前處理描述:去皮,混合均勻打碎","洋芋,洋薯,洋山芋,荷蘭薯,日本番薯,塊茄",15,59,1.7,0,0,12.8,
B0720101,澱粉類,馬鈴薯粉,前處理描述:混合均勻,太白粉,,346,0.1,0.1,,83.8,
B0800101,澱粉類,荸薺,"樣品狀態:生; 前處理描述:去皮,混合均勻打碎","水栗,地栗,馬蹄,馬薯,烏芋,水燈心草,海蔥仔,水蔥仔",,67,1.7,0.1,,14.5,
B0820101,澱粉類,荸薺粉,前處理描述:混合均勻,"水栗粉,地栗粉,馬蹄粉,馬薯粉,烏芋粉,水燈心草粉,海蔥仔粉,水蔥仔粉",,365,0.4,0.2,0,87.8,
B0900101,澱粉類,蓮藕,"樣品狀態:生; 前處理描述:去皮,混合均勻打碎","蓮根,藕,芙蕖,荷花藕",21,65,2,0.2,0.1,13.5,
B0900201,澱粉類,熟蓮藕,"樣品狀態:熟(已去皮); 前處理描述:浸泡水中,去藕節,混合均勻打碎","蓮根,藕,芙蕖,荷花藕",18,50,1.1,0.1,,11,
B0900202,澱粉類,熟蓮藕切片(水煮),"樣品狀態:熟(蓮藕,檸檬酸等); 前處理描述:混合均勻打碎","蓮根,藕,芙蕖,荷花藕",,73,0.8,0,0,16.9,
B0920101,澱粉類,蓮藕粉,"樣品狀態:蓮藕,馬鈴薯澱粉等; 前處理描述:混合均勻",,,365,0.1,0.1,,88.3,
B1000101,澱粉類,菱角(生),"樣品狀態:生; 前處理描述:去殼,混合均勻打碎","菱,芰,龍角,羊家,紅菱",,76,1.9,0.3,,16.1,
B1000201,澱粉類,菱角仁(生),樣品狀態:生; 前處理描述:混合均勻打碎,,,118,4.1,0.3,0.1,24.1,
B1000301,澱粉類,菱角(熟),"樣品狀態:熟; 前處理描述:去殼,混合均勻打碎","菱,芰,龍角,羊家,紅菱",54,146,4.2,0.3,,31,
B9900201,澱粉類,蒟蒻粉,"樣品狀態:蒟蒻抽出物,海藻抽出物,葡萄糖,檸檬酸鉀等; 前處理描述:混合均勻",,,351,0.2,0.2,0,87.2,
C0105101,堅果及種子類,甘扁桃仁片(生),樣品狀態:生; 前處理描述:混合均勻打碎,杏仁片(生),,564,27.3,47.8,3.7,17,
C0110101,堅果及種子類,甘扁桃仁片(熟),樣品狀態:熟; 前處理描述:混合均勻打碎,杏仁片(熟),,618,23.4,56.9,2.7,14.8,
C0110201,堅果及種子類,甘扁桃仁(熟),樣品狀態:熟; 前處理描述:混合均勻打碎,杏仁果(熟),,588,21.9,49.8,4.2,23.2,
C0205101,堅果及種子類,松子仁(生),樣品狀態:生; 前處理描述:混合均勻打碎,,,678,16.6,69.5,5.9,9.4,
C0210101,堅果及種子類,原味松子仁,樣品狀態:熟; 前處理描述:混合均勻打碎,,,680,14.5,69,6.8,13,
C0310101,堅果及種子類,原味夏威夷豆,樣品狀態:熟; 前處理描述:混合均勻打碎,夏威夷火山豆,,700,7.5,71.6,12.2,18.2,
C0405101,堅果及種子類,生核桃,樣品狀態:生; 前處理描述:混合均勻打碎,,59,667,15.4,67.9,6.1,11.2,
C0500101,堅果及種子類,栗子(生),"樣品狀態:生; 前處理描述:去殼,混合均勻打碎",,20,186,3.5,0.6,0.1,41.5,
C0500202,堅果及種子類,栗子仁(生),樣品狀態:生; 前處理描述:混合均勻打碎,,,176,3.7,0.7,0.1,38.7,
C0710101,堅果及種子類,開心果,"樣品狀態:熟; 前處理描述:去殼,混合均勻打碎",,50,601,22.4,52.7,5.8,20.1,
C0805101,堅果及種子類,腰果(生),樣品狀態:生; 前處理描述:混合均勻打碎,,,568,18.3,45.5,9.9,30.3,
C0810101,堅果及種子類,原味腰果,樣品狀態:熟; 前處理描述:混合均勻打碎,,,566,16.4,43.7,10.3,35.2,
C0905101,堅果及種子類,原味榛果,樣品狀態:熟; 前處理描述:混合均勻打碎,,,672,13,66.5,5.7,17.2,
C1005101,堅果及種子類,山粉圓,樣品狀態:生; 前處理描述:混合均勻磨碎,,,400,16.3,12.8,1.3,58,
C1305101,堅果及種子類,亞麻仁籽,樣品狀態:生; 前處理描述:混合均勻磨碎,,,524,20.8,40.3,4.3,28.1,
C1320101,堅果及種子類,亞麻仁籽粉,前處理描述:混合均勻,,,557,21.7,43.6,3.9,28.6,
C1410101,堅果及種子類,咖啡豆(曼特寧),樣品狀態:熟(純曼特寧咖啡豆烘焙而成); 前處理描述:混合均勻打碎,,,437,13.9,14.9,6.8,65.1,
C1505101,堅果及種子類,奇亞子,樣品狀態:生; 前處理描述:混合均勻打碎,,,483,21.7,31.8,3.3,34.8,37
C1605101,堅果及種子類,白芝麻(生),樣品狀態:生; 前處理描述:混合均勻打碎,,,598,22.3,54.9,8.2,15,
C1605102,堅果及種子類,黑芝麻(生),樣品狀態:生; 前處理描述:混合均勻打碎,,,551,22.2,48.1,7.6,17.6,
C1610101,堅果及種子類,白芝麻(熟),樣品狀態:熟(烤); 前處理描述:混合均勻打碎,,,626,20.3,58.7,9.5,15.7,
C1610102,堅果及種子類,白芝麻(熟)2022年取樣),樣品狀態:熟(烤); 前處理描述:混合均勻打碎,,0,601,21.7,52.4,8.4,21.2,37
C1610201,堅果及種子類,黑芝麻(熟),樣品狀態:熟(烤); 前處理描述:混合均勻打碎,,,599,17.3,54.4,8.4,20.6,
C1610202,堅果及種子類,黑芝麻(熟)(2022年取樣),樣品狀態:熟(烤); 前處理描述:混合均勻打碎,,0,591,20.7,51.8,8.3,21.1,9
C1620101,堅果及種子類,黑芝麻粉,前處理描述:混合均勻,,,601,15.7,55.2,8.2,20.8,
C1700101,堅果及種子類,帶殼花生(生),"樣品狀態:生; 前處理描述:去殼,含膜,混合均勻打碎","土豆,長生果,落花生",37,331,15.3,27.2,7.3,12.2,
C1700201,堅果及種子類,冷凍帶殼花生(熟),"樣品狀態:熟,冷凍包裝; 前處理描述:去殼,含膜,混合均勻打碎","土豆,長生果,落花生",36,344,17.2,27.4,5.6,13.3,
C1700301,堅果及種子類,黑金剛花生(生),"樣品狀態:生,黑仁花生; 前處理描述:去殼,混合均勻打碎","花生,土豆,長壽果",34,553,27.6,46.6,9.1,16.6,0
C1705101,堅果及種子類,帶膜花生仁(生)(1995年之前取樣),"樣品狀態:生,帶膜; 前處理描述:混合均勻打碎","土豆,長生果,落花生",,506,28.8,38.5,8.1,20.6,
C1705201,堅果及種子類,去膜花生仁(生),"樣品狀態:生,散裝; 前處理描述:混合均勻打碎","土豆,長生果,落花生",,558,28.8,45.4,10.1,19.1,
C1705301,堅果及種子類,帶膜花生仁(生)(2004年取樣),"樣品狀態:生,帶膜; 前處理描述:混合均勻打碎","土豆,長生果,落花生",,516,23.6,38.1,8.2,28.4,
C1710101,堅果及種子類,紅土帶殼花生(熟),"樣品狀態:熟; 前處理描述:去殼,含膜,混合均勻打碎","土豆,長生果,落花生",43,555,31.2,43.9,9.1,19.5,43
C1720101,堅果及種子類,花生粉,樣品狀態:散裝; 前處理描述:混合均勻,,,516,28.5,33.8,,33,
C1800101,堅果及種子類,芡實,樣品狀態:生; 前處理描述:混合均勻打碎,"雞頭米,雞頭",,343,9.9,0.1,0,75.4,
C2005101,堅果及種子類,愛玉子,"樣品狀態:生,天然野生; 前處理描述:混合均勻打碎","愛玉,草子仔,草枳子,天拋藤,玉枳,枳子,天拋,風不動",,407,12.2,12.5,1.2,63.7,
C2110101,堅果及種子類,原味葵瓜子(去殼),樣品狀態:熟; 前處理描述:混合均勻打碎,,,586,22,51.9,5.1,18.7,
C2200101,堅果及種子類,銀杏果,"樣品狀態:熟(去芯銀杏果,鹽等); 前處理描述:混合均勻打碎","白果,銀杏核,公孫樹子,鴨腳樹子,靈眼",,142,4.1,1.2,0.2,28.9,
C2300101,堅果及種子類,蓮子,"樣品狀態:生(蓮子,蓮子心等); 前處理描述:混合均勻打碎",,,141,9.3,0.5,0.2,25.6,
C2305101,堅果及種子類,蓮子(乾),樣品狀態:乾貨; 前處理描述:混合均勻打碎,,,334,21.8,1.2,0.4,60.9,
D0100101,水果類,山竹,"前處理描述:去皮及籽,混合均勻打碎","鳳果,都捻子,倒稔子,羅漢果,莽吉柿,果中之后",63,69,0.6,0.3,,18.1,
D02001,水果類,木瓜平均值,"前處理描述:去皮及籽,混合均勻打碎","番木瓜,番瓜",25,38,0.6,0.1,,9.9,
D0200101,水果類,木瓜(2月取樣),"前處理描述:去皮及籽,混合均勻打碎","番木瓜,番瓜",20,31,0.7,0.1,,7.7,
D0200102,水果類,木瓜(5月取樣),"前處理描述:去皮及籽,混合均勻打碎","番木瓜,番瓜",29,44,0.7,0.1,,11.3,
